Almacén,Descripción del almacén,Clave de artículo,Estatus,Descripción del producto
3,MATERIA PRIMA,MP7-IS,Activo,DILUYENTE ISOFORONA
3,MATERIA PRIMA,MP7-SP,Activo,DILUYENTE SP-400
3,MATERIA PRIMA,MPV-TS-0000172,Activo,DILUYENTE SP-500
3,MATERIA PRIMA,MP9-DCF,Activo,DIUREX CORTE FÁCIL DE 24MMx65M
3,MATERIA PRIMA,CI-AR-DI-01,Activo,DIUREX CORTE FACIL JANEL DE 18x50
3,MATERIA PRIMA,IM-CI-DC-01,Activo,DOBLE CAPA 12x50 POLIPROPILENO DEVEK
3,MATERIA PRIMA,11162100,Activo,ELASTICO COLETERO BLANCO
3,MATERIA PRIMA,MP5-121,Activo,ELASTICO TUBULAR
3,MATERIA PRIMA,MP1-1116211-D,Activo,EMPACK FLEXIBLE NATURAL C-4
3,MATERIA PRIMA,EMPA-ANTI,Activo,EMPAQUE ANTIBLOCK 4
3,MATERIA PRIMA,MP1-0000021-S,Activo,EMPAQUE ANTIBLOCK C 3.5
3,MATERIA PRIMA,EMP-C3.5-1.41,Activo,EMPAQUE ANTIBLOCK C3.5 1.41 PLATEADO
3,MATERIA PRIMA,EMP-003,Activo,EMPAQUE ANTIBLOCK CHAROL C 2.5
3,MATERIA PRIMA,EMP-002,Activo,EMPAQUE ANTIBLOCK CHAROL PLATEADO 3/3.5
3,MATERIA PRIMA,EMP-001,Activo,EMPAQUE ANTIBLOCK CHAROL PLATEADO C 4
3,MATERIA PRIMA,MP1-0000016-S,Activo,EMPAQUE ANTIBLOCK PLATA C-2.5
3,MATERIA PRIMA,MP1-0000017-S,Activo,EMPAQUE ANTIBLOCK PLATA C-3
